State Name,City Name,Month,Day of Week,Weather Conditions,Accident Location Details
Jammu and Kashmir,Some City,May,Monday,Hazy,Curve
Sikkim,Some City,August,Thursday,Foggy,Intersection
Himachal Pradesh,Some City,December,Wednesday,Clear,Curve
Uttar Pradesh,Kanpur,August,Tuesday,Clear,Curve
Telangana,Some City,August,Friday,Foggy,Intersection
Arunachal Pradesh,Some City,August,Friday,Stormy,Curve
Andhra Pradesh,Tirupati,October,Sunday,Rainy,Curve
Karnataka,Bangalore,October,Thursday,Hazy,Intersection
Maharashtra,Nagpur,December,Tuesday,Foggy,Intersection
Tamil Nadu,Madurai,August,Tuesday,Stormy,Intersection
Chandigarh,Some City,March,Friday,Stormy,Curve
Maharashtra,Mumbai,July,Saturday,Hazy,Curve
Odisha,Some City,July,Thursday,Stormy,Curve
Assam,Some City,July,Thursday,Foggy,Curve
Nagaland,Some City,June,Saturday,Foggy,Intersection
Gujarat,Surat,July,Tuesday,Foggy,Intersection
Tripura,Some City,February,Sunday,Foggy,Curve
Karnataka,Bangalore,February,Wednesday,Rainy,Intersection
West Bengal,Durgapur,November,Friday,Foggy,Intersection
Chhattisgarh,Some City,January,Tuesday,Rainy,Curve
Himachal Pradesh,Some City,October,Wednesday,Stormy,Intersection
Gujarat,Ahmedabad,May,Sunday,Hazy,Curve
Gujarat,Ahmedabad,December,Wednesday,Rainy,Intersection
Odisha,Some City,August,Tuesday,Foggy,Curve
Chhattisgarh,Some City,April,Saturday,Foggy,Intersection
Uttarakhand,Some City,February,Sunday,Stormy,Intersection
Haryana,Some City,August,Sunday,Hazy,Intersection
Himachal Pradesh,Some City,October,Saturday,Foggy,Intersection
Odisha,Some City,June,Thursday,Hazy,Curve
Telangana,Some City,August,Saturday,Foggy,Intersection
Goa,Some City,February,Saturday,Clear,Curve
Assam,Some City,April,Sunday,Stormy,Intersection
Odisha,Some City,May,Wednesday,Hazy,Intersection
Mizoram,Some City,June,Friday,Hazy,Intersection
Gujarat,Vadodara,March,Wednesday,Foggy,Intersection
Delhi,Dwarka,January,Tuesday,Rainy,Intersection
Punjab,Some City,April,Tuesday,Stormy,Curve
Jammu and Kashmir,Some City,December,Friday,Rainy,Intersection
Chandigarh,Some City,October,Wednesday,Rainy,Curve
Madhya Pradesh,Some City,July,Sunday,Hazy,Intersection
Tripura,Some City,February,Saturday,Foggy,Curve
Madhya Pradesh,Some City,October,Tuesday,Clear,Curve
Jharkhand,Some City,November,Tuesday,Stormy,Intersection
Punjab,Some City,August,Sunday,Rainy,Curve
Nagaland,Some City,July,Friday,Stormy,Curve
Uttar Pradesh,Lucknow,April,Saturday,Clear,Curve
Assam,Some City,February,Saturday,Stormy,Curve
Tripura,Some City,December,Sunday,Clear,Intersection
Andhra Pradesh,Tirupati,August,Saturday,Rainy,Intersection
Kerala,Some City,April,Monday,Clear,Curve
Goa,Some City,June,Sunday,Stormy,Curve
Gujarat,Vadodara,August,Wednesday,Stormy,Curve
Chhattisgarh,Some City,October,Friday,Clear,Curve
Karnataka,Mysore,December,Tuesday,Stormy,Intersection
Manipur,Some City,June,Wednesday,Foggy,Intersection
Jharkhand,Some City,October,Wednesday,Hazy,Curve
Mizoram,Some City,May,Monday,Rainy,Intersection
Chandigarh,Some City,October,Tuesday,Stormy,Intersection
Punjab,Some City,May,Friday,Clear,Intersection
Telangana,Some City,June,Monday,Stormy,Curve
Karnataka,Mangalore,June,Sunday,Rainy,Curve
Madhya Pradesh,Some City,July,Monday,Rainy,Intersection
Tamil Nadu,Chennai,May,Friday,Hazy,Intersection
Delhi,Rohini,April,Monday,Stormy,Intersection
West Bengal,Kolkata,June,Saturday,Rainy,Intersection
Tamil Nadu,Chennai,November,Thursday,Rainy,Intersection
Punjab,Some City,May,Tuesday,Stormy,Intersection
Karnataka,Bangalore,May,Thursday,Rainy,Intersection
Nagaland,Some City,November,Sunday,Foggy,Intersection
Meghalaya,Some City,October,Thursday,Clear,Curve
Haryana,Some City,August,Sunday,Foggy,Curve
